1;Biologia;1;6;1
2;Introdução aos Biorrecursos;1;6;1
3;Laboratório 1;1;6;1
4;Matemática;1;6;1
5;Química Geral;1;6;1
6;Estatística Aplicada;2;6;1
7;Física;2;6;1
8;Laboratório 2;2;6;1
9;Química Analítica;2;6;1
10;Química Orgânica;2;6;1
11;Bioquímica;1;6;2
12;Fundamentos de Bioprocessos;1;6;2
13;Laboratório 3;1;6;2
14;Matemática 2;1;6;2
15;Microbiologia;1;6;2
16;Laboratório IV;2;6;2
17;Produtos Naturais;2;6;2
18;Qualidade em Bioprodutos;2;6;2
19;Química-Física;2;6;2
20;Sustentabilidade;2;6;2
21;Ciência dos Materiais Naturais;1;6;3
22;Competências Transversais;1;6;3
23;Laboratório 5;1;6;3
24;Valorização de Bioprodutos;1;6;3
25;Aplicações Biotecnológicas;2;6;3
26;Estágio;2;12;3
27;Gestão de Bioprodutos;2;6;3
28;Laboratório;2;6;3
29;Algoritmia e Estrutura de Dados;1;5;1
30;Cálculo Diferencial e Integral 1;1;5;1
31;Ciência dos Materiais;1;5;1
32;Desenho Assistido por Computador;1;3;1
33;Eletrónica;1;6;1
34;Física Mecânica;1;6;1
35;Álgebra Linear e Geometria Analítica;2;5;1
36;Biologia das Células e dos Tecidos;2;4;1
37;Computação Móvel e Distribuída;2;6;1
38;Engenharia de Materiais;2;6;1
39;Física Geral;2;6;1
40;Biomecânica do Movimento;1;5;2
41;Cálculo Diferencial e Integral 2;1;5;2
42;Eletromagnetismo;1;5;2
43;Mecânica dos Fluídos;1;5;2
44;Química Médica;1;5;2
45;Termodinâmica;1;5;2
46;Anatomofisiologia;2;7;2
47;Bioeletricidade;2;7;2
48;Eletrónica Digital;2;7;2
49;Métodos Numéricos;2;5;2
50;Modelos Estatísticos;2;4;2
51;Automação e Controlo;1;6;3
52;Instrumentação Médica e Eletrónica;1;5;3
53;Laboratórios de Engenharia Biomédica;1;5;3
54;Modelação Computacional de Biossistemas;1;4;3
55;Projeto Interdisciplinar;1;4;3
56;Sistemas Integrados de Regulação Metabólica;1;6;3
57;Análise de Imagem Biomédica;2;6;3
58;Engenharia Genética e Biotecnologia Molecular;2;6;3
59;Física da Radiação;2;4;3
60;Processamento de Sinais Fisiológicos;2;6;3
61;Projeto ou Estágio;2;8;3
